timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:41:52.956298,0.2769,0.0886,0.145,-0.09,0.2214
2026-02-04T16:41:53.958463,0.2521,0.131,0.1439,-0.1581,0.2411
2026-02-04T16:41:54.961440,0.3057,0.155,0.1156,-0.0099,0.2651
2026-02-04T16:41:55.963167,0.265,0.1501,0.1144,-0.0451,0.1812
2026-02-04T16:41:56.964325,0.1736,0.0625,0.1627,-0.0998,0.1676
2026-02-04T16:41:57.966221,0.1933,0.1134,0.1133,-0.1143,0.0773
2026-02-04T16:41:58.967986,0.1437,0.1052,0.0301,-0.1395,-0.0021
2026-02-04T16:41:59.969145,0.1992,0.1298,0.0442,-0.1274,-0.0553
2026-02-04T16:42:00.970715,0.1511,0.1557,0.0494,-0.137,-0.0529
2026-02-04T16:42:01.973059,0.0581,0.1874,0.1117,-0.1078,0.0515
2026-02-04T16:42:02.975461,-0.0256,0.1555,0.0117,-0.0728,0.0892
2026-02-04T16:42:03.976890,0.0546,0.1667,0.1093,-0.0308,-0.0121
2026-02-04T16:42:04.979386,0.0908,0.1621,0.0754,0.0176,-0.0171
2026-02-04T16:42:05.982211,0.0927,0.1759,0.0715,0.0112,0.0407
2026-02-04T16:42:06.984466,0.1005,0.1833,0.0884,0.0233,0.0969
2026-02-04T16:42:07.985730,0.1733,0.2398,0.1438,0.0093,0.0584
2026-02-04T16:42:08.986877,0.1542,0.2717,0.2037,0.0962,0.2352
2026-02-04T16:42:09.989243,0.1662,0.2761,0.137,0.143,0.2867
2026-02-04T16:42:10.990301,0.2138,0.2519,0.1163,0.1857,0.3206
2026-02-04T16:42:11.991395,0.227,0.1592,-0.0012,-0.0234,-0.0661
2026-02-04T16:42:12.992763,0.2866,0.1632,0.0286,-0.0273,0.021
2026-02-04T16:42:13.993658,0.2672,0.1302,-0.0048,-0.0788,-0.0357
2026-02-04T16:42:14.994754,0.419,0.1867,0.0598,-0.0165,0.1469
2026-02-04T16:42:15.995389,0.3541,0.1946,0.0921,0.0436,0.2364
2026-02-04T16:42:16.996145,0.2858,0.1957,0.1215,-0.0307,0.1963
2026-02-04T16:42:17.996956,0.1962,0.1671,0.104,0.0053,0.2031
2026-02-04T16:42:18.997556,0.1467,0.1736,-0.0047,-0.0507,0.0862
2026-02-04T16:42:19.999040,0.061,0.1832,-0.1109,-0.1553,0.0549
2026-02-04T16:42:21.000708,0.1701,0.1803,-0.1619,-0.1476,0.0949
2026-02-04T16:42:22.001178,0.2786,0.2166,0.1561,-0.0583,0.0435
2026-02-04T16:42:23.002980,0.2862,0.2027,0.0497,-0.0525,0.1038
2026-02-04T16:42:24.004482,0.2426,0.1457,0.0154,-0.0505,-0.0112
2026-02-04T16:42:25.005797,0.2005,0.1551,0.0436,-0.063,-0.0083
2026-02-04T16:42:26.006998,0.2343,0.139,0.142,-0.0789,0.0824
2026-02-04T16:42:27.008847,0.1743,0.0894,0.106,-0.0706,0.0128
2026-02-04T16:42:28.009786,0.2367,0.1971,-0.0566,-0.0672,-0.0007
